dispatch_time,num_orders_in_batch,num_available_couriers,supply_demand_ratio,num_proposed_assignments,num_accepted_assignments,num_rejections,assignment_rate,acceptance_rate,total_cost_of_cycle,avg_cost_per_assignment,agreement_rate_with_actual,cost_function,mode,strategy_key,num_units,num_bundles,avg_bundle_size,micro_batch_sec,optimizer_status,num_deferred_in,num_deferred_out,num_deferred_carry
1665977114,1112,802,0.7212230215827338,802,698,104,0.6276978417266187,0.8703241895261845,17633979.688478105,25263.581215584676,0.008595988538681949,distance_to_pickup,REALTIME,greedy,1112,0,1,10,ok,0,414,414
1665977124,428,104,0.24299065420560748,104,96,8,0.22429906542056074,0.9230769230769231,1201381.2748718488,12514.38827991509,0.010416666666666666,distance_to_pickup,REALTIME,greedy,428,0,1,10,ok,0,332,332
1665977134,345,8,0.02318840579710145,8,7,1,0.020289855072463767,0.875,25381.626578236675,3625.946654033811,0.0,distance_to_pickup,REALTIME,greedy,345,0,1,10,ok,0,338,338
1665977144,348,1,0.0028735632183908046,1,1,0,0.0028735632183908046,1.0,3570.0875339408694,3570.0875339408694,0.0,distance_to_pickup,REALTIME,greedy,348,0,1,10,ok,0,347,347
1665977154,362,0,0.0,0,0,0,0.0,0,0,0,0.0,distance_to_pickup,REALTIME,greedy,362,0,1,10,ok,0,362,362
1665977164,376,0,0.0,0,0,0,0.0,0,0,0,0.0,distance_to_pickup,REALTIME,greedy,376,0,1,10,ok,0,376,376
1665977174,405,0,0.0,0,0,0,0.0,0,0,0,0.0,distance_to_pickup,REALTIME,greedy,405,0,1,10,ok,0,405,405
1665977184,521,0,0.0,0,0,0,0.0,0,0,0,0.0,distance_to_pickup,REALTIME,greedy,521,0,1,10,ok,0,521,521
1665977194,652,0,0.0,0,0,0,0.0,0,0,0,0.0,distance_to_pickup,REALTIME,greedy,652,0,1,10,ok,0,652,652
1665977204,671,0,0.0,0,0,0,0.0,0,0,0,0.0,distance_to_pickup,REALTIME,greedy,671,0,1,10,ok,0,671,671
1665977214,696,0,0.0,0,0,0,0.0,0,0,0,0.0,distance_to_pickup,REALTIME,greedy,696,0,1,10,ok,0,696,696
1665977224,706,0,0.0,0,0,0,0.0,0,0,0,0.0,distance_to_pickup,REALTIME,greedy,706,0,1,10,ok,0,706,706
1665977234,714,80,0.11204481792717087,80,72,8,0.10084033613445378,0.9,3702249.1331511396,51420.12684932139,0.027777777777777776,distance_to_pickup,REALTIME,greedy,714,0,1,10,ok,0,642,642
1665977244,649,8,0.012326656394453005,8,6,2,0.009244992295839754,0.75,245871.30448594294,40978.55074765716,0.0,distance_to_pickup,REALTIME,greedy,649,0,1,10,ok,0,643,643
1665977254,646,2,0.0030959752321981426,2,2,0,0.0030959752321981426,1.0,54244.60045522349,27122.300227611744,0.0,distance_to_pickup,REALTIME,greedy,646,0,1,10,ok,0,644,644
1665977264,655,0,0.0,0,0,0,0.0,0,0,0,0.0,distance_to_pickup,REALTIME,greedy,655,0,1,10,ok,0,655,655
